שנה,קוד רמה 1,שם רמה 1,קוד רמה 2,שם רמה 2,קוד סוג סעיף,שם סוג סעיף,קוד סעיף,שם סעיף,קוד תחום,שם תחום,קוד תכנית,שם תכנית,קוד תקנה,שם תקנה,קוד מיון רמה 1,שם מיון רמה 1,קוד מיון רמה 2,שם מיון רמה 2,הוצאה/הכנסה,פשח,הוצאה נטו,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120110,הטבות הורים שכולים,3,העברות,34,תשלומי העברה סוציאליים,הוצאה,0,169542,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120111,תגמולים אלמנות ויתומים,3,העברות,34,תשלומי העברה סוציאליים,הוצאה,0,613934,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120112,הטבות אלמנות ויתומים,3,העברות,34,תשלומי העברה סוציאליים,הוצאה,0,146459,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120113,חוק אתרי הנצחה,2,קניות,33,קניות בארץ,הוצאה,0,14600,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120114,הנצחה,2,קניות,33,קניות בארץ,הוצאה,0,100852,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120116,רזרבה להתיקרויות העברות,3,העברות,36,רזרבה,הוצאה,0,224133,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120117,חמי מרפא,3,העברות,34,תשלומי העברה סוציאליים,הוצאה,0,102000,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1513,קורונה - משרד הביטחון,151301,קורונה - משרד הביטחון,15130101,קורונה - משרד הביטחון,2,קניות,33,קניות בארץ,הוצאה,0,15000,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1599,חשבון מעבר,159999,חשבון מעבר,15999999,חשבון מעבר,28,חשבונות מעבר,95,חשבונות מעבר,הוצאה,1,0,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500101,"שיא כ""א",1,שכר,30,שכר בארץ,הוצאה,0,54656,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500102,"שיא כ""א - רשות למאבק בסמים, באלימות ובאלכוהול",1,שכר,30,שכר בארץ,הוצאה,1,0,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,12,בטחון פנים,1,תקציב רגיל,7,המשרד לביטחון הפנים,750,המשרד לבטחון הפנים,75001,שכר,7500103,משרות אמון,1,שכר,30,שכר בארץ,הוצאה,0,8271,,,,,,,,,,,,,,,,,
